system,family,configuration,map,ndcg,ndcg_cut_10,P_5,P_10,recall_100,recip_rank,index_time_s,search_time_s,ms_per_query
TF_IDF [stem1_stop1_tw3_a0_b0_d0],preprocessing,"stem, stop, title x3",0.3127,0.5326,0.3738,0.32,0.234,0.7379,0.5516,0.541,1.175,7.84
TF_IDF [stem1_stop1_tw3_a0_b0_d1],preprocessing,"stem, stop, title x3",0.3087,0.5289,0.3698,0.316,0.2327,0.7371,0.5449,0.619,1.155,7.7
TF_IDF [stem1_stop1_tw2_a0_b0_d0],preprocessing,"stem, stop, title x2",0.3087,0.5289,0.3698,0.316,0.2327,0.7371,0.5449,0.556,1.186,7.9
TF_IDF [stem1_stop1_tw2_a1_b1_d1],preprocessing,"stem, stop, title x2, +author, +bib",0.3044,0.525,0.367,0.3093,0.2327,0.7366,0.5402,0.619,1.174,7.82
TF_IDF [stem1_stop1_tw2_a0_b0_d1],preprocessing,"stem, stop, title x2",0.3023,0.5233,0.3652,0.3093,0.2327,0.7351,0.5347,0.642,1.187,7.91
TF_IDF [stem1_stop1_tw1_a0_b0_d1],preprocessing,"stem, stop, title x1",0.2919,0.5149,0.3527,0.2933,0.226,0.7312,0.5346,0.604,1.16,7.73
TF_IDF [stem1_stop0_tw1_a0_b0_d1],preprocessing,"stem, nostop, title x1",0.275,0.5074,0.3387,0.2853,0.2073,0.7002,0.5258,0.675,1.379,9.19
TF_IDF [stem0_stop1_tw1_a0_b0_d1],preprocessing,"nostem, stop, title x1",0.2735,0.493,0.3387,0.2933,0.2213,0.7076,0.5067,0.674,1.017,6.78
TF_IDF [stem0_stop0_tw1_a0_b0_d1],preprocessing,"nostem, nostop, title x1",0.2569,0.4869,0.3227,0.28,0.2053,0.6811,0.4926,1.182,1.593,10.62
TF_IDF [stem1_stop1_tw0_a0_b0_d1],preprocessing,"stem, stop, title x0",0.2527,0.4718,0.3125,0.2547,0.2107,0.6899,0.4939,0.658,1.144,7.63
