system,family,configuration,map,ndcg,ndcg_cut_10,P_5,P_10,recall_100,recip_rank,index_time_s,search_time_s,ms_per_query
SmartVSM lnu.ltu,smart-vsm,"stem, stop, title x3; lnu.ltu",0.3175,0.5361,0.3856,0.312,0.244,0.7365,0.5667,0.3,0.142,0.95
SmartVSM lnc.ltc,smart-vsm,"stem, stop, title x3; lnc.ltc",0.3165,0.5324,0.3703,0.3213,0.234,0.7439,0.5491,0.292,0.133,0.89
SmartVSM Lnc.ltc,smart-vsm,"stem, stop, title x3; Lnc.ltc",0.3165,0.5324,0.3703,0.3213,0.234,0.7439,0.5491,0.276,0.136,0.91
Terrier TF_IDF,terrier,"stem, stop, title x3",0.3127,0.5326,0.3738,0.32,0.234,0.7379,0.5516,0.541,1.224,8.16
SmartVSM anc.atc,smart-vsm,"stem, stop, title x3; anc.atc",0.2989,0.5205,0.3581,0.312,0.2233,0.7445,0.5371,0.274,0.146,0.97
SmartVSM anc.ltc,smart-vsm,"stem, stop, title x3; anc.ltc",0.2969,0.5187,0.3549,0.312,0.222,0.7435,0.5339,0.265,0.145,0.96
SmartVSM ltc.ltn,smart-vsm,"stem, stop, title x3; ltc.ltn",0.2954,0.5166,0.3545,0.2973,0.2267,0.7313,0.5274,0.269,0.149,0.99
SmartVSM ltc.ltc,smart-vsm,"stem, stop, title x3; ltc.ltc",0.2954,0.5166,0.3545,0.2973,0.2267,0.7313,0.5274,0.263,0.157,1.05
Terrier LemurTF_IDF,terrier,"stem, stop, title x3",0.2909,0.5127,0.3514,0.2933,0.224,0.7213,0.5093,0.541,1.21,8.07
SmartVSM bnc.ltc,smart-vsm,"stem, stop, title x3; bnc.ltc",0.2515,0.483,0.3119,0.2613,0.1947,0.7097,0.4875,0.306,0.145,0.97
Terrier Tf,terrier,"stem, stop, title x3",0.2082,0.4396,0.2552,0.2227,0.168,0.6663,0.4461,0.541,1.215,8.1
Terrier CoordinateMatch,terrier,"stem, stop, title x3",0.1895,0.4224,0.2375,0.2027,0.1553,0.6242,0.4244,0.541,1.167,7.78
