system,family,configuration,map,ndcg,ndcg_cut_10,P_5,P_10,recall_100,recip_rank,index_time_s,search_time_s,ms_per_query
SmartVSM lnu.ltu (s=0.15),vsm-tuning,pivot slope=0.15,0.3188,0.5364,0.388,0.3147,0.2433,0.7308,0.5706,0.26,0.15,1.0
SmartVSM lnu.ltu (s=0.25),vsm-tuning,pivot slope=0.25,0.3185,0.5368,0.3872,0.3187,0.2467,0.74,0.5617,0.338,0.135,0.9
SmartVSM lnu.ltu (s=0.2),vsm-tuning,pivot slope=0.2,0.3175,0.5361,0.3856,0.312,0.244,0.7365,0.5667,0.267,0.148,0.98
SmartVSM lnu.ltu (s=0.3),vsm-tuning,pivot slope=0.3,0.3161,0.5367,0.3829,0.3173,0.2413,0.7415,0.562,0.261,0.151,1.01
SmartVSM lnu.ltu (s=0.1),vsm-tuning,pivot slope=0.1,0.3146,0.5335,0.3845,0.3173,0.2413,0.7272,0.5653,0.267,0.151,1.01
SmartVSM lnu.ltu (s=0.05),vsm-tuning,pivot slope=0.05,0.3133,0.5309,0.3811,0.3187,0.24,0.7221,0.5641,0.272,0.154,1.03
Terrier TF_IDF (c=0.75),terrier-tuning,c=0.75,0.3127,0.5326,0.3738,0.32,0.234,0.7379,0.5516,0.541,1.143,7.62
SmartVSM lnu.ltu (s=0.4),vsm-tuning,pivot slope=0.4,0.311,0.5303,0.3732,0.3187,0.2407,0.7481,0.5365,0.277,0.138,0.92
Terrier TF_IDF (c=0.5),terrier-tuning,c=0.5,0.3106,0.531,0.3754,0.316,0.2353,0.7352,0.5518,0.541,1.144,7.63
Terrier TF_IDF (c=1.0),terrier-tuning,c=1.0,0.3106,0.5297,0.372,0.3173,0.236,0.7409,0.5369,0.541,1.149,7.66
Terrier TF_IDF (c=1.5),terrier-tuning,c=1.5,0.3059,0.5285,0.3633,0.304,0.2253,0.7446,0.5376,0.541,1.155,7.7
Terrier TF_IDF (c=0.3),terrier-tuning,c=0.3,0.3055,0.5274,0.371,0.316,0.2333,0.731,0.5536,0.541,1.148,7.66
Terrier TF_IDF (c=0.2),terrier-tuning,c=0.2,0.2995,0.5219,0.3624,0.3067,0.2273,0.7306,0.5473,0.541,1.198,7.99
Terrier TF_IDF (c=0.1),terrier-tuning,c=0.1,0.2914,0.5148,0.3544,0.304,0.224,0.7263,0.5373,0.541,1.198,7.99
Terrier TF_IDF (c=2.0),terrier-tuning,c=2.0,0.2736,0.496,0.3232,0.26,0.2073,0.7497,0.4625,0.541,1.149,7.66
