system,family,configuration,map,ndcg,ndcg_cut_10,P_5,P_10,recall_100,recip_rank,index_time_s,search_time_s,ms_per_query
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",0.3436,0.5543,0.3948,0.332,0.256,0.7747,0.5623,0.279,0.333,2.22
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,pool=2000)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,pool=2000)",0.3436,0.5543,0.3948,0.332,0.256,0.7747,0.5623,0.279,0.335,2.23
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,it=2)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,it=2)",0.3417,0.5474,0.3864,0.3293,0.2587,0.7864,0.5435,0.279,0.566,3.77
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.9,g=0.0,k=8,m=40)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.9,g=0.0,k=8,m=40)",0.3412,0.5511,0.391,0.34,0.2587,0.7808,0.5493,0.279,0.451,3.01
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=1.0,g=0.0,k=8,m=50)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=1.0,g=0.0,k=8,m=50)",0.3408,0.5533,0.3936,0.34,0.26,0.7892,0.5529,0.279,0.477,3.18
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50,it=2)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50,it=2)",0.3393,0.5481,0.3886,0.3347,0.26,0.7899,0.5519,0.279,0.642,4.28
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=20)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=20)",0.3392,0.5564,0.4048,0.3333,0.2607,0.7565,0.5721,0.281,0.283,1.89
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50)",0.3391,0.5512,0.3879,0.3413,0.2527,0.7841,0.5535,0.279,0.464,3.09
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=1.0,g=0.0,k=10,m=75)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=1.0,g=0.0,k=10,m=75)",0.339,0.5506,0.3889,0.3427,0.256,0.7835,0.5489,0.279,0.489,3.26
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=1.25,g=0.0,k=8,m=40)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=1.25,g=0.0,k=8,m=40)",0.339,0.5489,0.3886,0.3373,0.2607,0.7884,0.5458,0.279,0.435,2.9
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.6,g=0.0,k=5,m=25)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.6,g=0.0,k=5,m=25)",0.3389,0.5529,0.4006,0.3293,0.2653,0.7761,0.55,0.279,0.313,2.09
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=12,m=75)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=12,m=75)",0.3382,0.5517,0.3919,0.3373,0.2567,0.7809,0.5539,0.279,0.518,3.45
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.6,g=0.0,k=5,m=25)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.6,g=0.0,k=5,m=25)",0.3367,0.5539,0.4013,0.328,0.258,0.7599,0.568,0.281,0.348,2.32
"SmartVSM lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=20)",stage5-combined,"lnc.ltc(s=0.2) + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=20)",0.3359,0.5507,0.3943,0.3267,0.2567,0.7698,0.5511,0.279,0.282,1.88
"SmartVSM lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=20)",stage5-combined,"lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.5,g=0.0,k=5,m=20)",0.3352,0.5556,0.4046,0.3307,0.2553,0.7555,0.5799,0.267,0.3,2.0
"SmartVSM lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.6,g=0.0,k=5,m=25)",stage5-combined,"lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.6,g=0.0,k=5,m=25)",0.3312,0.5494,0.3945,0.3307,0.2507,0.7588,0.5647,0.267,0.34,2.27
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",0.3251,0.544,0.3898,0.3413,0.256,0.7483,0.5562,0.281,0.364,2.43
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,pool=2000)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,pool=2000)",0.3251,0.544,0.3898,0.3413,0.256,0.7483,0.5562,0.281,0.349,2.33
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50)",0.3244,0.5405,0.3828,0.3467,0.2513,0.7522,0.5642,0.281,0.444,2.96
"SmartVSM lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,pool=2000)",stage5-combined,"lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,pool=2000)",0.3219,0.5384,0.3808,0.3333,0.248,0.7531,0.5654,0.267,0.38,2.53
"SmartVSM lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",stage5-combined,"lnu.ltu(s=0.15) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30)",0.3219,0.5384,0.3808,0.3333,0.248,0.7531,0.5654,0.267,0.337,2.25
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.9,g=0.0,k=8,m=40)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.9,g=0.0,k=8,m=40)",0.3219,0.5392,0.3862,0.3453,0.2553,0.7565,0.5577,0.281,0.439,2.93
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,it=2)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=8,m=30,it=2)",0.3207,0.5393,0.3853,0.3387,0.2553,0.749,0.5487,0.281,0.561,3.74
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=12,m=75)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=12,m=75)",0.3192,0.5344,0.3764,0.332,0.246,0.7433,0.5642,0.281,0.556,3.71
SmartVSM lnu.ltu (s=0.15),stage5-base,lnu.ltu; s=0.15,0.3188,0.5364,0.388,0.3147,0.2433,0.7308,0.5706,0.267,0.141,0.94
"SmartVSM lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50,it=2)",stage5-combined,"lnu.ltu(s=0.2) + Rocchio(a=1.0,b=0.75,g=0.0,k=10,m=50,it=2)",0.3181,0.5345,0.3772,0.34,0.2507,0.7518,0.5593,0.281,0.752,5.01
SmartVSM lnu.ltu (s=0.2),stage5-base,lnu.ltu; s=0.2,0.3175,0.5361,0.3856,0.312,0.244,0.7365,0.5667,0.281,0.145,0.97
SmartVSM lnc.ltc (s=0.2),stage5-base,lnc.ltc; s=0.2,0.3165,0.5324,0.3703,0.3213,0.234,0.7439,0.5491,0.279,0.127,0.85
